vuln_id,title,description,LLM,Human 1,Human 2,source_file
0,Code Style Violations,Low severity vulnerabilities can be ignored. They are code style violations and may not impact smart contract execution.,"{1: ['CWE-710'], 2: ['CWE-1076'], 3: ['CWE-1078'], 4: ['CWE-1114']}","{1: ['CWE-710'], 2: ['CWE-1076'], 3: ['CWE-1078'], 4: ['CWE-1114']}","{1: ['CWE-710'], 2: ['CWE-1076'], 3: ['CWE-1078']}",Experiments/valid/InterFi/Metahash_0x56A7491b899aDa99b3f2Fea48647392Fe98D0E5f.json
5,Lack of access control in certain functions,"Some functions do not have proper access control, allowing unauthorized users to perform actions.","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-862']}",Experiments/valid/InterFi/Xeeb_AuditReport_InterFi.json
2,Slightly Reduced Voting Power due to Rounding Error,Rounding error causes slightly reduced voting power.,"{1: ['CWE-682'], 2: ['CWE-1339']}","{1: ['CWE-682'], 2: ['CWE-1339']}","{1: ['CWE-682'], 2: ['CWE-1339']}",Experiments/valid/Spearbit/Velodrome-Spearbit-Security-Review.json
2,Possible Costly Vault Share From Improper Initialization,"The `Tetu` protocol allows users to deposit supported assets and get in return the share to represent the pool ownership. While examining the share calculation with the given deposits, we notice an issue that may unnecessarily make the pool share extremely expensive and bring hurdles (or even causes loss) for later depositors.",{1: ['CWE-682']},{1: ['CWE-682']},{1: ['CWE-682']},Experiments/valid/PeckShield/PeckShield-Audit-Report-Tetu-v1.0.json
1,Meaningful Events For Important State Changes,"Lack of meaningful events to reflect changes in privileged routines, such as system-wide parameters or settings being changed, tokens being minted, transferred, or burned.","{1: ['CWE-691'], 2: ['CWE-431']}","{1: ['CWE-691'], 2: ['CWE-431']}","{1: ['CWE-691'], 2: ['CWE-431']}",Experiments/valid/PeckShield/PeckShield-Audit-Report-Celer-MultiBridge-v1.0.json
9,Speed Index score is lower than expected,"The Speed Index score of the website is lower than expected, indicating potential performance issues.",{1: ['CWE-710']},{1: ['CWE-710']},{1: ['CWE-710']},Experiments/valid/Cyberscope/dcandy.json
1,"Invalid Transfer Will Not Exist in Block, Exchange Needs to Verify `from` and `value` Fields","The exchange needs to verify the `from` and `value` fields when checking user recharge, and query whether the transaction is reversible in the block.","{1: ['CWE-703'], 2: ['CWE-228'], 3: ['CWE-229'], 4: ['CWE-232']}","{1: ['CWE-703'], 2: ['CWE-228'], 3: ['CWE-229'], 4: ['CWE-232']}","{1: ['CWE-707'], 2: ['CWE-20']}",Experiments/valid/SlowMist/PlatON瀹夊叏瀹¤鎶ュ憡.json
4,Uninitialized Decimals,The decimals variable is not properly initialized.,{1: ['CWE-682']},"{1: ['CWE-664'], 2: ['CWE-665'], 3: ['CWE-908'], 4: ['CWE-457']}","{1: ['CWE-664'], 2: ['CWE-665'], 3: ['CWE-1419']}",Experiments/valid/Techrate/MentalHealthToken Full Smart Contract Security Audit.json
13,withdrawToken,External function allowing owner to withdraw tokens.,"{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}","{1: ['CWE-284'], 2: ['CWE-285'], 3: ['CWE-732']}",Experiments/valid/InterFi/RodeoCoin_0xF04Cb10B76F1BF04B7954E2aF5D1ec3f4D967a68.json
2,HodlDex.sol: Duplicate call of balance.poke(),"The public function `poke()` calls `_setEthToUsd()` and then immediately calls `balance.poke()`, which is also called at the end of `_setEthToUsd()`, resulting in two sequential identical calls.","{1: ['CWE-691'], 2: ['CWE-1265']}","{1: ['CWE-691'], 2: ['CWE-1265']}","{1: ['CWE-691'], 2: ['CWE-841']}",Experiments/valid/Solidified/Solidified-Hodl2_[05.11.2020].json
0,Owner can change presale address,The owner has the privilege to modify the presale address.,"{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-266']}",Experiments/valid/Techrate/GreenChart.json
0,Variables naming,Variables `rTransfe_gcbAmount` and `tTransfe_gcbAmount` should be renamed using solidity style guides.,{1: ['CWE-710']},{1: ['CWE-710']},{1: ['CWE-710']},Experiments/valid/Techrate/GCB Smart Contract Audit.json
7,Unprotected excludeAccount and includeAccount functions,The excludeAccount and includeAccount functions are unprotected and can be accessed by anyone.,"{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}",Experiments/valid/InterFi/CorgiFanClub_0xCd0cb0FB6FFd21Ba22d7650fCa640b672EfAA28A.json
9,Initialize Function Is Not Secure,The initialize function of a contract is not secure and can lead to potential security risks.,"{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}",Experiments/valid/InterFi/1millionDAO_AuditReport_InterFi.json
0,A floating pragmFa iIs Xset,The current pragma Solidity directive is 0.8.9.,"{1: ['CWE-710'], 2: ['CWE-758']}","{1: ['CWE-710'], 2: ['CWE-758']}","{1: ['CWE-710'], 2: ['CWE-758']}",Experiments/valid/Solid_Proof/SmartContract_Audit_Solidproof_Wolfgirl.json
1,Non-Compliant with BEP-20 standard,BEP-20 contracts must be compliant to the BEP-20 standard and the Tokens which don鈥檛,"{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}",Experiments/valid/QuillAudits/Nugen Token Smart Contract Audit Report - QuillAudits.json
9,Unprotected function whitelistPreSale,The function whitelistPreSale lacks protection and can be exploited by unauthorized users.,"{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}","{1: ['CWE-284'], 2: ['CWE-749']}",Experiments/valid/InterFi/AntiRugN_0xBCd10D913F2Cd6C054FDC157dD371BCFA80F2B5A.json
7,Owner privileges can change yuklaReferral,"The owner has excessive privileges to modify yuklaReferral, potentially leading to unintended consequences.","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-250']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-250']}","{1: ['CWE-284'], 2: ['CWE-269'], 3: ['CWE-250']}",Experiments/valid/Techrate/YuklaSwap.json
3,F-2023-0199 - Floating Pragma,"Using a pragma statement without specifying a fixed compiler version allows the contract to be compiled with any compatible compiler version, leading to potential compatibility and stability issues.","{1: ['CWE-710'], 2: ['CWE-684']}","{1: ['CWE-710'], 2: ['CWE-758']}","{1: ['CWE-710'], 2: ['CWE-758']}",Experiments/valid/Hacken/Hacken_PHPT_SCA-PHPT_Token_Dec2023_P-2023-075_1_20240112-13_51.json
19,Incorrect `_MAX_NODES` and `_MAX_NODES_P` descriptions,The derivation of the values `_MAX_NODES` and `MAX_NODES_P` in the comments are incorrect.,"{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}","{1: ['CWE-710'], 2: ['CWE-1068']}",Experiments/valid/Spearbit/Clober-Spearbit-Security-Review.json
16,Unstake Timestamp Not Updated After Pool Parameters Update,"The unstakeTimestamp value is not updated when pool parameters are changed, potentially leading to incorrect unstaking behavior.","{1: ['CWE-664'], 2: ['CWE-666']}","{1: ['CWE-664'], 2: ['CWE-666']}","{1: ['CWE-664'], 2: ['CWE-666']}",Experiments/valid/Trail_of_Bits/2023-03-primitive-securityreview.json
