Tool,Detectable Vulnerabilities,Description,CWE,Parent Pillar
solhint,no-inline-assembly,"Avoid to use inline assembly. It is acceptable only in rare cases.	",CWE-695,CWE-710
solhint,not-rely-on-block-hash,"Do not rely on “block.blockhash”. Miners can influence its value.	",CWE-829,CWE-664
solhint,not-rely-on-time,"Avoid making time-based decisions in your business logic.	",CWE-829,CWE-664
solhint,reentrancy,"Possible reentrancy vulnerabilities. Avoid state changes after transfer.	",CWE-1265,CWE-691
solhint,state-visibility,"Explicitly mark visibility of state.	",CWE-710,CWE-710
oyente,Callstack_Depth_Attack_Vulnerability,,CWE-400,CWE-664
oyente,Integer_Overflow,,CWE-190,CWE-682
oyente,Integer_Underflow,,CWE-191,CWE-682
oyente,Parity_Multisig_Bug_2,,CWE-282,CWE-284
oyente,Re-Entrancy_Vulnerability,,CWE-1265,CWE-691
oyente,Timestamp_Dependency,,CWE-829,CWE-664
oyente,Transaction-Ordering_Dependence_TOD,,CWE-362,CWE-691
maian,Destructible,,"CWE-749, CWE-285",CWE-284
maian,Destructible_(verified),,"CWE-749, CWE-285",CWE-284
maian,Ether_leak,,"CWE-285, CWE-862",CWE-284
maian,Ether_leak_(verified),,"CWE-285, CWE-862",CWE-284
maian,Ether_lock,,"CWE-282, CWE-758, CWE-667","CWE-284, CWE-710, CWE-664"
maian,Ether_lock_(Ether_accepted_without_send),,"CWE-282, CWE-758, CWE-667","CWE-284, CWE-710, CWE-664"
osiris,Callstack_bug,,CWE-834,CWE-691
osiris,Concurrency_bug,,CWE-362,CWE-691
osiris,Division_bugs,,CWE-369,CWE-682
osiris,Modulo_bugs,,CWE-369,CWE-682
osiris,Overflow_bugs,,CWE-190,CWE-682
osiris,Reentrancy_bug,,CWE-1265,CWE-691
osiris,Signedness_bugs,,"CWE-195, CWE-682","CWE-664, CWE-682"
osiris,Time_dependency_bug,,CWE-829,CWE-664
osiris,Timedependency_bug,,CWE-829,CWE-664
osiris,Truncation_bugs,,CWE-197,"CWE-664, CWE-682"
osiris,Underflow_bugs,,CWE-191,CWE-682
securify,DAO,,CWE-1265,CWE-691
securify,DAOConstantGas,,CWE-1265,CWE-691
securify,MissingInputValidation,,CWE-20,CWE-707
securify,TODAmount,,CWE-362,CWE-691
securify,TODReceiver,,CWE-362,CWE-691
securify,TODTransfer,,CWE-362,CWE-691
securify,UnhandledException,,CWE-391,CWE-703
securify,UnrestrictedEtherFlow,,"CWE-285, CWE-862",CWE-284
smartcheck,SOLIDITY_ADDRESS_HARDCODED,,"CWE-657, CWE-798",CWE-710
smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,,"CWE-188, CWE-787","CWE-435, CWE-664"
smartcheck,SOLIDITY_BALANCE_EQUALITY,,CWE-667,CWE-664
smartcheck,SOLIDITY_BYTE_ARRAY_INSTEAD_BYTES,,CWE-710,CWE-710
smartcheck,SOLIDITY_CALL_WITHOUT_DATA,,CWE-477,CWE-710
smartcheck,SOLIDITY_CONSTRUCTOR_RETURN,,CWE-657,CWE-710
smartcheck,SOLIDITY_DELETE_ON_DYNAMIC_ARRAYS,,CWE-400,CWE-664
smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,,CWE-477,CWE-710
smartcheck,SOLIDITY_DIV_MUL,,CWE-1339,CWE-682
smartcheck,SOLIDITY_DOS_WITH_THROW,,CWE-755,CWE-703
smartcheck,SOLIDITY_DO_WHILE_CONTINUE,,CWE-835,CWE-691
smartcheck,SOLIDITY_ERC20_APPROVE,,CWE-362,CWE-691
smartcheck,SOLIDITY_ERC20_FUNCTIONS_ALWAYS_RETURN_FALSE,,CWE-670,CWE-691
smartcheck,SOLIDITY_ERC20_INDEXED,,CWE-778,CWE-664
smartcheck,SOLIDITY_ERC20_TRANSFER_SHOULD_THROW,,CWE-755,CWE-703
smartcheck,SOLIDITY_EXACT_TIME,,CWE-829,CWE-664
smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,,CWE-834,CWE-691
smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,,CWE-665,CWE-664
smartcheck,SOLIDITY_FUNCTION_RETURNS_TYPE_AND_NO_RETURN,,CWE-665,CWE-664
smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,,"CWE-835, CWE-400","CWE-691, CWE-664"
smartcheck,SOLIDITY_INCORRECT_BLOCKHASH,,CWE-477,CWE-710
smartcheck,SOLIDITY_LOCKED_MONEY,,"CWE-282, CWE-758, CWE-667","CWE-284, CWE-710, CWE-664"
smartcheck,SOLIDITY_MSGVALUE_EQUALS_ZERO,,CWE-571,CWE-710
smartcheck,SOLIDITY_OVERPOWERED_ROLE,,CWE-269,CWE-284
smartcheck,SOLIDITY_PRAGMAS_VERSION,,CWE-710,CWE-710
smartcheck,SOLIDITY_PRIVATE_MODIFIER_DOES_NOT_HIDE_DATA,,CWE-710,CWE-710
smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,,CWE-710,CWE-710
smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,,CWE-710,CWE-710
smartcheck,SOLIDITY_REVERT_REQUIRE,,CWE-710,CWE-710
smartcheck,SOLIDITY_REWRITE_ON_ASSEMBLY_CALL,,CWE-695,CWE-710
smartcheck,SOLIDITY_SAFEMATH,,CWE-710,CWE-710
smartcheck,SOLIDITY_SEND,,CWE-710,CWE-710
smartcheck,SOLIDITY_SHOULD_NOT_BE_PURE,,CWE-1126,CWE-710
smartcheck,SOLIDITY_SHOULD_NOT_BE_VIEW,,CWE-710,CWE-710
smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT,,CWE-710,CWE-710
smartcheck,SOLIDITY_TRANSFER_IN_LOOP,,CWE-252,CWE-703
smartcheck,SOLIDITY_TX_ORIGIN,,"CWE-477, CWE-346","CWE-710, CWE-284"
smartcheck,SOLIDITY_UINT_CANT_BE_NEGATIVE,,CWE-190,CWE-682
smartcheck,SOLIDITY_UNCHECKED_CALL,,CWE-754,CWE-703
smartcheck,SOLIDITY_UNUSED_FUNCTION_SHOULD_BE_EXTERNAL,,CWE-1164,CWE-710
smartcheck,SOLIDITY_UPGRADE_TO_050,,CWE-710,CWE-710
smartcheck,SOLIDITY_USING_INLINE_ASSEMBLY,,CWE-695,CWE-710
smartcheck,SOLIDITY_VAR,,CWE-190,CWE-682
smartcheck,SOLIDITY_VAR_IN_LOOP_FOR,,CWE-190,CWE-682
smartcheck,SOLIDITY_VISIBILITY,,CWE-1126,CWE-710
smartcheck,SOLIDITY_WRONG_SIGNATURE,,CWE-710,CWE-710
honeybadger,Balance_disorder,,CWE-506,CWE-710
honeybadger,Hidden_state_update,,CWE-506,CWE-710
honeybadger,Hidden_transfer,,CWE-506,CWE-710
honeybadger,Inheritance_disorder,,CWE-684,CWE-710
honeybadger,Money_flow,,CWE-506,CWE-710
honeybadger,Skip_empty_string,,CWE-506,CWE-710
honeybadger,Straw_man_contract,,CWE-506,CWE-710
honeybadger,Type_overflow,,CWE-506,CWE-710
honeybadger,Uninitialised_struct,,CWE-665,CWE-664
confuzzius,Arbitrary_Memory_Access,,CWE-123,CWE-664
confuzzius,Assertion_Failure,,CWE-670,CWE-691
confuzzius,Block_Dependency,,CWE-829,CWE-664
confuzzius,Integer_Overflow,,CWE-190,CWE-682
confuzzius,Leaking_Ether,,"CWE-285, CWE-862",CWE-284
confuzzius,Locking_Ether,,"CWE-282, CWE-758, CWE-667","CWE-284, CWE-710, CWE-664"
confuzzius,Reentrancy,,CWE-1265,CWE-691
confuzzius,Transaction_Order_Dependency,,CWE-362,CWE-691
confuzzius,Unhandled_Exception,,CWE-391,CWE-703
confuzzius,Unprotected_Selfdestruct,,"CWE-826, CWE-749","CWE-664, CWE-284"
confuzzius,Unsafe_Delegatecall,,"CWE-20, CWE-282","CWE-707, CWE-284"
